"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
75,17,14,16,5,3,2,0,544,624,506,4,230,3,50,1,150000,832000,80,3,220000,0,1,1,1
76,15,16,16,1,3,1,0,495,494,501,1,4210,4,-4,1,110000,143000,10,5,200000,0,1,1,1
77,14,16,16,5,3,2,-3,646,577,1701,4,4810,2,6000,0,150000,5526252,10,1,160000,0,1,0,1
78,21,16,18,5,3,2,-3,594,668,1203,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
79,18,16,18,1,3,1,0,655,614,506,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
80,15,14,20,1,3,1,0,597,541,-5,4,2320,1,-2,1,24000,211500,0,1,24000,0,4,0,1
81,14,12,20,1,3,1,1,432,478,-5,1,140,2,1000,0,25000,291000,0,3,123545,0,4,1,1
82,20,-2,-2,3,2,1,-3,319,331,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
83,18,6,-2,3,2,1,-3,291,243,-4,-4,-4,-4,-4,0,0,0,0,4,8796,1,1,0,1
84,15,-2,12,3,2,1,-3,427,376,-4,1,-4,-4,-4,0,0,0,70,4,52328,0,1,3,1
85,19,11,11,3,2,1,1,244,266,-4,-4,-4,-4,-4,0,0,0,25,1,8484,1,1,0,1
86,18,9,9,7,2,2,1,351,304,-4,-4,4720,2,7,1,24000,1700,80,1,24000,0,1,0,1
87,15,11,12,3,2,1,-3,382,303,-5,1,9720,4,-4,1,15000,-3,0,1,15000,0,1,0,1
88,21,12,12,3,2,1,-3,643,579,2207,3,8740,2,60,1,35000,63815,35,1,35000,0,1,2,1
89,20,12,12,7,2,2,0,544,600,2199,3,710,2,5000,1,72000,434500,20,2,147000,0,1,1,1
90,20,5,4,1,3,1,0,628,527,506,4,1060,2,2500,1,146000,2051003,30,2,227000,0,1,1,1
91,15,5,3,5,3,2,-3,405,440,514,4,4700,4,-4,1,40000,305000,10,4,95000,0,1,1,1
92,16,12,12,5,3,2,-3,455,486,-4,1,4010,3,100,1,42000,399000,50,2,42500,0,1,3,1
93,14,-2,-2,1,3,1,0,443,439,-4,1,8200,2,40,1,62000,250500,20,1,62000,0,2,3,1
94,22,10,10,1,3,1,0,-4,-4,-4,-5,4250,3,3,1,0,-3,50,2,-2,-3,1,1,1
95,18,10,-2,5,3,2,-3,439,408,-4,1,530,2,120,0,32000,-3,50,1,32000,0,2,3,0
96,17,6,-2,6,3,2,0,477,426,-4,1,5700,1,900,1,57000,275900,10,3,102200,0,1,1,1
97,21,12,11,5,3,2,0,502,558,801,1,3300,2,4,1,30000,309400,50,3,105000,0,1,1,1
98,21,17,14,6,3,2,-3,547,547,2208,1,-4,-4,-4,0,0,8500,100,5,16860,1,1,1,1
99,21,12,16,5,3,2,-5,-4,-4,-5,3,5700,3,300,1,40000,187700,40,3,44500,0,1,6,1
100,15,-2,-2,5,3,2,-3,496,457,-5,1,2150,1,1500,1,104000,172500,20,2,104000,0,1,3,1
101,20,10,6,1,3,1,0,728,505,506,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
102,14,10,5,5,3,2,0,561,471,506,1,120,1,3000,1,-1,-3,10,3,-1,-3,1,1,1
103,20,11,-3,1,3,1,0,605,502,925,4,1110,2,1,1,90000,40500,30,1,123747,0,1,3,0
104,20,12,-2,5,3,2,0,454,524,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
105,20,12,12,6,3,2,0,570,534,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
106,18,12,9,1,3,1,0,643,693,206,3,430,2,600,1,131000,1502500,10,3,140600,0,1,1,1
107,17,11,9,1,3,1,0,539,589,2208,3,430,3,4,1,96000,-3,35,2,126000,0,1,1,0
108,20,11,8,1,3,1,0,612,598,1401,7,2100,4,-4,1,80000,151500,5,5,195000,0,1,1,1
109,16,-3,-3,5,3,2,0,452,663,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
