"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
7331,21,13,-2,12,3,2,0,559,575,502,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7332,20,12,12,11,1,1,0,467,459,-4,1,4760,2,63,0,0,0,50,2,0,1,2,3,1
7333,20,14,17,9,3,1,0,635,664,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7334,21,12,14,9,3,1,-3,613,603,502,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7335,21,17,14,10,2,1,-3,425,418,2301,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7336,19,18,-3,10,2,1,1,477,352,0,3,-4,-4,-4,0,0,0,100,1,0,1,3,0,0
7337,17,18,-3,13,2,2,1,528,456,1206,1,2310,1,50,1,42000,-23700,40,1,42000,0,4,0,1
7338,21,14,15,12,3,2,0,699,588,1214,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7339,20,13,12,12,3,2,1,556,638,1203,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7340,20,12,16,11,1,1,0,670,653,420,5,2320,1,40,1,54000,452000,65,3,66500,0,1,1,0
7341,19,16,20,12,3,2,1,538,539,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7342,21,12,12,9,3,1,0,547,603,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7343,21,14,16,9,3,1,0,641,588,909,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7344,20,12,20,12,3,2,1,509,558,410,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7345,20,12,10,12,3,2,0,623,627,401,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7346,20,12,9,12,3,2,0,496,572,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7347,15,3,5,9,3,1,0,483,272,9996,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7348,16,9,8,12,3,2,-3,582,659,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7349,15,9,8,9,3,1,0,425,409,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7350,21,9,10,12,3,2,1,320,312,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7351,16,9,12,12,3,2,0,470,406,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7352,21,7,12,12,3,2,0,510,411,1207,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7353,18,12,6,9,3,1,1,487,449,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7354,16,12,6,9,3,1,1,387,291,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7355,15,12,6,12,3,2,1,240,390,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7356,20,-3,12,12,3,2,0,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7357,22,12,10,12,3,2,0,529,477,1203,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7358,17,9,7,12,3,2,0,286,244,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7359,16,9,7,12,3,2,0,351,347,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7360,15,11,12,13,2,2,0,462,612,506,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7361,17,12,18,14,1,2,-3,-4,-4,599,-5,2020,2,1800,1,10435,13949,0,2,10455,1,-4,3,-4
7362,18,11,9,9,3,1,1,474,465,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7363,15,12,10,9,3,1,-3,287,279,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7364,18,12,10,9,3,1,1,434,486,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7365,17,12,11,9,3,1,1,440,450,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7366,17,12,11,9,3,1,1,424,426,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7367,15,11,8,12,3,2,-5,411,410,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7368,18,14,7,13,2,2,-3,556,540,506,4,7700,2,500,1,54000,-15305,50,2,54000,0,3,0,1
7369,17,14,10,10,2,1,-3,590,560,910,4,8610,1,1200,1,92000,1034250,50,2,191000,0,3,1,1
7370,15,9,10,10,2,1,0,741,621,910,4,300,2,115,1,167000,51143,30,4,168000,0,3,1,1
7371,15,17,14,13,2,2,0,455,455,509,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7372,14,17,14,10,2,1,0,532,459,509,1,310,4,-4,1,332954,-3,10,3,310000,0,3,1,1
7373,17,12,10,10,2,1,0,276,338,-4,-4,4220,2,10,1,1000,41500,100,1,1700,1,3,2,2
7374,14,-3,-3,12,3,2,1,460,434,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7375,20,17,11,12,3,2,0,415,416,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7376,17,11,17,12,3,2,0,273,423,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7377,21,11,3,13,2,2,-3,339,285,-4,1,4220,1,120,1,20000,220700,10,1,20000,0,3,0,1
7378,19,8,3,13,2,2,-3,516,401,514,1,-4,-4,-4,0,0,109500,50,3,15600,1,3,1,1
7379,18,9,3,10,2,1,-3,334,358,1401,1,8030,2,2000,1,79000,249000,10,2,131400,0,3,1,1
7380,16,9,3,10,2,1,-3,281,278,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7381,14,11,12,10,2,1,1,356,419,2209,1,8640,1,3,0,0,0,20,1,0,1,3,1,0
7382,16,11,8,13,2,2,0,440,428,-4,1,-4,-4,-4,0,0,87841,100,2,36204,0,3,0,1
7383,15,12,12,13,2,2,0,374,357,502,-5,-4,-4,-4,0,-1,-3,90,1,-1,-3,3,3,1
7384,17,12,12,10,2,1,0,416,429,506,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7385,18,11,12,10,2,1,-3,372,373,-4,-5,-4,-4,-4,0,0,600,0,1,3900,1,3,0,1
7386,16,17,17,10,2,1,0,502,451,401,1,6350,2,-4,1,48000,101500,10,2,48000,0,3,1,0
7387,21,9,15,10,2,1,0,480,463,901,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7388,17,10,16,13,2,2,0,560,648,1905,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7389,20,12,12,13,2,2,0,436,556,801,1,120,2,250,0,0,-13500,100,2,7000,1,3,3,1
7390,16,-3,11,13,2,2,0,334,340,-4,1,3600,2,300,1,13000,30900,100,4,13000,1,3,0,1
7391,21,11,11,13,2,2,0,312,395,-4,1,7700,2,8000,1,60000,411000,50,1,60000,0,3,3,1
7392,19,11,11,13,2,2,0,377,415,-4,1,620,2,125,1,33000,90000,50,1,33000,0,3,0,1
7393,21,10,11,13,2,2,0,444,407,925,1,-4,-4,-4,0,0,587500,30,3,25000,0,3,3,1
7394,16,10,11,13,2,2,0,369,387,509,1,7750,2,6000,0,0,218000,30,1,67400,0,3,2,1
7395,17,12,16,13,2,2,0,478,524,602,3,2340,2,100,1,80000,587500,50,2,125300,0,4,1,1
7396,15,12,16,13,2,2,0,466,486,509,4,420,-4,20,0,37000,342800,30,4,125549,0,3,1,0
7397,19,12,12,13,2,2,0,523,462,506,1,-4,-4,-4,0,0,11000,50,2,21600,0,3,0,1
7398,20,17,20,13,2,2,0,467,559,2102,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7399,15,19,9,10,2,1,0,623,549,2104,8,5000,1,100,1,80000,67500,0,3,154000,0,3,1,1
7400,18,12,12,10,2,1,0,437,485,1307,1,9120,2,40,1,41000,16480,50,5,41000,0,3,3,1
7401,15,12,12,10,2,1,0,530,504,-4,1,7150,4,-4,1,43000,144150,0,2,58000,0,3,1,1
7402,21,-4,-4,10,2,1,-3,328,264,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7403,18,8,-2,13,2,2,0,349,344,-4,1,4020,3,40,1,-2,0,0,2,-2,-3,3,0,1
7404,15,10,-2,10,2,1,0,324,309,-4,1,9610,2,8,1,5000,0,0,2,5000,1,3,0,1
7405,14,11,8,13,2,2,0,267,375,-4,1,4230,1,200,0,0,0,20,1,0,1,3,0,1
7406,15,12,14,9,3,1,0,416,463,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7407,21,12,10,12,3,2,1,450,434,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7408,16,12,12,12,3,2,0,375,411,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7409,22,12,12,12,3,2,0,442,499,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7410,18,16,16,13,2,2,-3,496,518,501,1,5860,2,16,1,58041,79300,0,2,60029,0,3,0,1
7411,19,16,16,10,2,1,0,419,355,0,1,4220,1,500,1,98000,-3400,0,2,125000,0,3,1,1
7412,15,-3,-3,11,1,1,0,569,614,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7413,21,12,10,11,1,1,0,527,463,2301,5,2040,3,13,1,60000,988000,50,2,102000,0,3,1,0
7414,20,-3,16,12,3,2,0,508,685,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7415,21,12,12,12,3,2,0,491,564,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7416,16,12,-2,12,3,2,0,499,396,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7417,16,17,16,11,1,1,0,512,521,2209,1,3820,1,200,1,55000,371000,20,3,55000,0,3,3,1
7418,15,16,16,14,1,2,0,481,459,501,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7419,16,13,9,9,3,1,1,664,722,801,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7420,19,13,10,12,3,2,0,527,524,1011,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7421,17,12,14,14,1,2,0,485,449,514,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7422,15,12,14,14,1,2,0,579,469,1205,2,230,4,-4,1,100000,2562625,10,2,125600,0,3,1,1
7423,15,12,-2,14,1,2,0,591,579,901,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7424,17,12,15,11,1,1,0,558,569,0,2,9130,2,1500,1,129000,1063000,10,3,176400,0,3,1,1
7425,15,8,8,9,3,1,0,460,515,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7426,20,12,14,14,1,2,-3,627,685,1203,2,3130,3,500,1,94000,933500,50,2,194025,0,3,1,1
7427,18,12,14,11,1,1,-3,708,632,-4,3,2200,3,50000,1,332954,95000,50,1,220000,0,1,0,1
7428,14,12,14,14,1,2,-3,583,659,1905,1,10,2,170,1,100000,-3,20,2,162000,0,3,1,1
7429,19,11,10,9,3,1,0,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7430,18,10,9,14,1,2,-3,502,418,-4,1,4960,2,75,1,70000,1635492,20,3,190000,0,3,1,0
7431,15,10,-2,9,3,1,-3,611,577,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7432,17,10,-4,13,2,2,0,305,427,509,1,-4,-4,-4,0,15000,195700,100,2,62200,0,3,1,1
7433,20,6,-3,13,2,2,0,466,463,-4,-4,-4,-4,-4,0,0,0,100,4,20316,1,1,6,1
7434,16,8,8,10,2,1,0,484,404,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7435,18,16,12,13,2,2,1,411,431,601,3,2540,1,40,1,30000,-900,20,3,30000,0,3,3,1
7436,19,12,12,13,2,2,0,412,408,2105,1,3650,2,20,1,21000,0,10,6,21000,1,3,0,1
7437,18,12,12,13,2,2,-3,503,402,506,4,5110,5,30,0,0,-113958,100,3,9000,1,3,0,1
7438,17,12,12,13,2,2,-3,457,442,-4,1,5240,2,2000,1,44000,423200,10,2,44000,0,3,1,1
7439,15,12,12,13,2,2,-3,463,432,-4,1,-4,-4,-4,0,0,56000,0,2,38400,0,3,1,1
7440,14,12,12,13,2,2,-3,422,452,2208,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7441,15,12,-2,13,2,2,-3,260,322,-4,-4,-4,-4,-4,0,0,0,0,5,10845,1,3,0,1
7442,22,8,3,13,2,2,1,563,497,703,1,5240,2,2500,1,40000,-3,50,3,200000,0,1,3,1
7443,17,14,12,13,2,2,1,470,488,509,1,-4,-4,-4,0,0,700,10,2,8000,1,3,6,1
7444,18,2,3,10,2,1,-3,376,206,-4,1,-4,-4,-4,0,0,2271,100,2,-2,-3,3,0,0
7445,17,4,3,13,2,2,1,191,330,-4,1,-4,-4,-4,0,0,0,100,2,9593,1,3,0,1
7446,15,4,3,13,2,2,1,253,293,-4,1,-4,-4,-4,0,0,65000,0,4,10668,1,3,2,1
7447,21,8,1,13,2,2,-3,371,391,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7448,15,9,11,13,2,2,1,272,354,-4,1,4020,3,-2,0,10112,0,100,3,12440,1,3,1,1
7449,15,12,14,13,2,2,1,353,320,1207,1,2140,2,8,1,-1,-3,2,1,-1,-3,3,2,1
7450,16,12,12,12,3,2,0,586,596,801,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7451,17,12,10,13,2,2,0,443,674,1203,1,5810,1,90,1,101000,434700,0,8,233400,0,3,3,1
7452,20,11,12,12,3,2,0,436,465,514,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7453,21,12,12,12,3,2,0,667,614,428,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7454,21,16,7,10,2,1,0,460,425,901,4,1410,1,12000,1,98000,2374831,60,3,193000,0,3,1,1
7455,20,-2,-2,13,2,2,-5,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7456,16,5,1,10,2,1,-3,298,352,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7457,16,5,1,10,2,1,-3,338,318,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7458,20,6,14,13,2,2,0,460,493,506,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7459,19,5,10,13,2,2,0,339,388,-4,-4,4610,2,8,0,3000,-8200,50,5,17400,1,3,6,1
7460,18,5,10,13,2,2,0,464,438,506,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7461,16,5,14,10,2,1,0,306,315,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7462,14,5,12,13,2,2,0,424,442,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7463,16,11,-3,10,2,1,0,381,341,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7464,20,5,-4,13,2,2,0,396,381,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7465,17,12,-2,10,2,1,0,450,435,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7466,15,12,-2,10,2,1,0,408,366,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7467,21,12,12,10,2,1,0,365,255,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7468,19,12,12,13,2,2,0,493,528,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7469,15,11,12,10,2,1,0,351,333,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7470,18,14,-3,13,2,2,1,-4,-4,1701,1,-4,-4,-4,0,30000,1195083,15,3,283000,0,3,1,1
7471,19,14,11,11,1,1,0,530,510,1905,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7472,18,14,12,11,1,1,0,590,445,9996,8,7700,1,10000,1,95000,58000,40,1,95000,0,3,3,1
7473,15,14,9,11,1,1,0,463,459,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7474,18,12,-3,10,2,1,0,433,440,909,1,9130,2,12,1,38000,-2800,40,2,48400,0,3,1,1
7475,16,12,10,13,2,2,0,505,489,506,4,2320,1,78,1,40430,-3,30,2,180309,0,3,1,1
7476,15,12,10,13,2,2,0,482,440,-4,1,800,1,-2,0,28000,74600,40,1,28000,0,3,3,1
7477,19,16,12,13,2,2,0,444,466,1220,3,2310,1,175,1,-1,-3,0,3,-1,-3,3,1,1
7478,17,14,11,13,2,2,0,409,438,-4,6,230,1,135,1,-1,-3,0,2,-1,-3,3,3,1
7479,17,10,8,13,2,2,0,314,404,514,1,1000,1,500,1,60000,108420,0,3,70000,0,3,6,1
7480,15,10,8,13,2,2,0,409,361,-4,1,800,1,30,1,53800,-140000,40,2,55800,0,3,1,1
7481,17,11,12,13,2,2,1,520,631,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7482,17,-3,-3,10,2,1,0,377,380,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7483,16,13,-3,10,2,1,0,333,423,-4,1,5610,2,1000,0,30000,42000,0,1,30000,0,3,2,1
7484,14,12,12,10,2,1,0,449,438,428,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7485,16,12,16,13,2,2,0,527,631,502,1,5240,2,50,0,1000,-57000,50,2,1600,1,3,3,1
7486,18,7,7,10,2,1,0,359,510,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7487,21,15,16,10,2,1,1,276,376,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7488,20,16,14,10,2,1,0,537,552,603,3,9990,2,7,1,140000,198530,90,2,170000,0,3,1,1
7489,18,15,12,13,2,2,0,541,575,2001,1,2550,1,260,1,46500,93100,50,1,46500,0,3,0,1
7490,15,16,13,13,2,2,-3,397,504,701,1,2330,1,800,1,36000,-148800,10,2,67000,0,3,1,1
7491,14,12,12,10,2,1,0,483,525,506,3,540,4,-4,1,70000,-3,30,1,70000,0,3,0,1
7492,16,11,-3,13,2,2,-3,414,437,0,1,800,2,2500,1,41000,345400,20,1,41100,0,3,3,1
7493,21,11,12,13,2,2,1,355,357,-4,-4,-4,-4,-4,0,0,2000,100,2,0,1,3,2,1
7494,16,11,-3,13,2,2,0,444,430,-4,1,4610,2,5,0,11000,-9000,80,1,11000,1,3,2,1
7495,15,11,11,10,2,1,0,511,391,-4,1,7560,2,3000,1,85000,104000,0,1,85000,0,3,0,1
7496,18,11,10,13,2,2,0,381,332,-4,1,4230,3,80,0,11000,3600,50,1,11000,1,3,3,1
7497,15,11,10,13,2,2,0,390,347,-4,1,-4,-4,-4,0,0,557,40,2,10176,1,3,3,1
7498,20,10,14,13,2,2,0,551,571,501,4,2310,1,130,1,18000,176000,0,4,110000,0,1,1,1
7499,21,10,14,10,2,1,0,223,339,-4,-4,-4,-4,-4,0,0,0,-2,2,-2,-3,3,0,1
7500,16,10,14,13,2,2,0,449,392,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7501,18,10,14,13,2,2,1,465,374,-4,1,-4,-4,-4,0,0,-972,0,1,9244,1,3,2,1
7502,17,11,12,10,2,1,0,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7503,16,10,12,13,2,2,-3,385,358,-4,1,-4,-4,-4,0,0,1200,50,2,33658,0,3,2,1
7504,15,10,12,13,2,2,-3,410,360,-4,1,-4,-4,-4,0,0,1100,80,5,13764,1,3,1,1
7505,17,12,7,10,2,1,1,414,367,-4,1,6420,2,3,1,15000,-41000,80,1,15000,0,3,2,1
7506,18,12,8,13,2,2,0,380,375,-4,1,2540,-2,27,1,-2,-3,50,3,-2,-3,3,1,1
7507,19,12,7,10,2,1,0,421,408,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7508,21,12,8,13,2,2,1,377,364,2104,1,2000,2,10,1,29000,83000,0,2,119000,0,3,1,1
7509,20,12,7,10,2,1,0,367,342,-4,-4,8160,2,13000,1,50000,100000,10,3,92000,0,3,1,1
7510,20,6,16,13,2,2,0,277,394,1203,1,-4,-4,-4,0,0,-1523,100,1,11484,1,1,3,1
7511,21,12,12,10,2,1,0,392,425,-4,-5,5610,5,91,0,24000,9000,0,2,24000,0,3,0,1
7512,19,10,-3,10,2,1,-3,475,421,801,1,9130,2,60,1,73000,114000,50,3,73000,0,3,1,1
7513,16,12,11,13,2,2,0,361,409,514,2,4610,2,800,0,400,19550,50,3,10500,1,3,1,1
7514,20,7,11,13,2,2,0,485,557,2104,2,3750,1,30,1,60954,77200,40,5,60954,0,3,3,1
7515,17,6,9,13,2,2,0,484,458,0,1,5400,2,2000,1,30000,149400,40,2,70000,0,3,1,1
7516,17,12,12,10,2,1,0,450,432,909,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7517,18,8,-2,10,2,1,1,415,286,-4,-4,7200,2,10,1,39010,70100,10,2,39010,0,3,0,1
7518,17,10,11,13,2,2,0,305,277,-4,-4,-4,-4,-4,0,0,1000,0,1,10080,1,3,2,1
7519,16,8,-2,10,2,1,1,377,363,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7520,15,10,11,13,2,2,-3,362,325,-4,-4,4230,1,-2,0,21000,5000,90,1,21000,0,3,2,1
7521,17,14,-2,10,2,1,0,454,452,-4,1,9130,2,15,1,60000,-3,0,3,-2,-3,3,1,1
7522,16,14,12,10,2,1,0,475,425,-4,1,-4,-4,-4,0,0,-5997,50,2,27912,0,2,1,1
7523,15,14,-2,10,2,1,0,485,447,9996,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7524,19,10,-4,13,2,2,0,331,348,-4,-4,4720,2,8,0,0,14000,0,2,2400,1,3,6,1
7525,19,16,16,13,2,2,0,477,471,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7526,17,10,10,10,2,1,0,434,281,839,1,7330,1,60,0,30000,224000,75,4,190000,0,3,1,1
7527,14,14,-3,13,2,2,0,682,590,2208,5,1240,1,500,1,127000,314500,20,4,174000,0,3,1,1
7528,16,12,13,9,3,1,0,532,469,1510,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7529,16,11,12,12,3,2,1,470,563,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7530,15,11,12,12,3,2,1,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7531,14,12,13,14,1,2,0,518,561,829,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7532,19,8,12,12,3,2,0,471,537,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7533,21,12,12,14,1,2,0,205,273,-4,1,-4,-4,-4,0,0,0,0,1,-2,-3,3,0,1
7534,14,9,9,11,1,1,-3,419,364,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7535,17,11,12,14,1,2,0,428,398,-4,1,4760,2,75,1,13000,-3,0,2,-2,-3,2,1,1
7536,19,18,20,12,3,2,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7537,20,12,16,12,3,2,0,569,516,801,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7538,21,12,12,12,3,2,0,702,561,401,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7539,18,6,12,11,1,1,0,555,492,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7540,18,10,7,11,1,1,-3,370,462,-5,1,410,3,4,1,19000,120300,100,1,19000,0,3,6,1
7541,19,12,12,11,1,1,0,418,417,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7542,16,12,12,14,1,2,-3,567,603,1207,2,3320,2,15,1,32000,674000,50,2,132800,0,3,1,1
7543,21,9,9,12,3,2,0,395,480,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7544,15,17,17,11,1,1,0,645,730,401,4,3060,2,12,1,332954,1926205,20,3,922631,0,3,1,1
7545,19,12,8,11,1,1,0,448,481,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7546,19,11,-2,12,3,2,-3,408,476,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7547,16,8,5,10,2,1,0,365,262,-4,-4,9610,4,-4,1,5400,101200,-2,1,18600,0,3,3,1
7548,18,6,3,13,2,2,1,392,303,-4,-4,8800,-2,-2,1,-2,0,0,3,21600,0,3,3,1
7549,16,6,5,10,2,1,0,326,223,-4,-4,4020,2,10,0,2000,3000,100,3,2000,1,3,1,1
7550,15,6,3,13,2,2,1,368,351,-4,1,8960,2,150,1,52000,130000,0,1,52000,0,3,6,1
7551,14,12,12,13,2,2,0,438,474,514,8,3410,2,-2,1,51000,-3,10,6,-2,-3,3,3,1
7552,17,12,12,10,2,1,0,707,669,701,4,2310,2,40,0,39000,393320,20,2,-2,-3,3,1,1
7553,21,10,9,14,1,2,0,401,377,0,1,2540,1,100,1,26000,51600,60,3,32300,0,3,3,1
7554,17,9,12,11,1,1,0,580,712,606,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7555,15,9,12,11,1,1,0,640,585,910,1,10,2,90,0,332954,2327000,50,3,922631,0,3,1,1
7556,19,7,7,11,1,1,0,554,483,-4,8,5930,2,1000,1,41000,225100,10,1,41008,0,3,1,1
7557,17,7,7,11,1,1,0,415,418,-4,1,3920,3,2200,1,81000,74500,0,3,136000,0,3,1,0
7558,14,14,19,14,1,2,0,576,632,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
